id,followers_count,friends_count,lang,created_at,group
1,0,0,en,Wed Jan 18 06:20:48 +0000 2012,2
2,0,0,en,Tue Jan 17 09:37:54 +0000 2012,2
3,0,0,en,Tue Jan 17 08:56:36 +0000 2012,2
4,0,0,en,Thu Jan 19 03:13:47 +0000 2012,2
5,4372,4571,es,Tue Jan 17 09:39:27 +0000 2012,2
6,4616,5066,en,Tue Jan 17 11:10:34 +0000 2012,2
7,4200,4435,en,Mon Dec 12 09:50:03 +0000 2011,2
8,13,27,en,Thu Jan 19 03:43:42 +0000 2012,2
9,0,0,it,Tue Jan 17 02:24:52 +0000 2012,2
10,980,491,en,Fri Dec 24 06:16:01 +0000 2010,1
11,0,0,it,Wed Mar 28 13:40:42 +0000 2012,2
12,0,0,it,Tue Jan 17 04:44:08 +0000 2012,2
13,589,517,en,Fri Dec 21 21:58:33 +0000 2007,1
14,0,0,it,Wed Mar 28 10:14:34 +0000 2012,2
15,748,1008,en,Sat Mar 16 20:10:28 +0000 2013,2
16,432,315,en,Mon Feb 23 02:08:56 +0000 2009,1
17,140,159,en,Sat Nov 27 21:51:26 +0000 2010,1
18,0,0,es,Wed Jan 18 05:14:19 +0000 2012,2
19,149,181,en,Wed Feb 11 23:43:06 +0000 2009,1
20,268,335,en,Wed Jan 18 04:03:42 +0000 2012,2
21,4394,4352,en,Tue Jan 17 07:03:22 +0000 2012,2
22,0,0,es,Wed Jan 18 02:47:57 +0000 2012,2
23,9,384,en,Mon Mar 18 00:17:40 +0000 2013,2
24,0,0,en,Wed Jan 18 04:58:32 +0000 2012,2
25,5039,5321,en,Wed Jan 18 03:20:13 +0000 2012,2
26,0,0,it,Mon Jan 16 10:32:16 +0000 2012,2
27,1461,1448,en,Thu Mar 05 17:55:29 +0000 2009,1
28,0,0,en,Wed Jan 18 06:48:50 +0000 2012,2
29,1561,2001,en,Wed Jan 12 07:32:14 +0000 2011,2
30,5,0,en,Tue Jan 17 09:52:24 +0000 2012,2
31,3152,2522,es,Thu Nov 20 20:05:43 +0000 2008,1
32,269,183,en,Mon Aug 12 05:16:47 +0000 2013,1
33,661,439,en,Sun May 13 23:38:35 +0000 2012,1
34,1108,998,en,Mon Mar 23 15:32:10 +0000 2009,1
35,1,0,en,Tue Jan 17 08:38:05 +0000 2012,2
36,791,194,en,Thu Sep 19 07:32:27 +0000 2013,1
37,0,0,it,Thu Jan 19 04:12:27 +0000 2012,2
38,6325,2,en,Tue Jan 08 09:04:35 +0000 2013,2
39,34,161,en,Thu Apr 03 05:09:05 +0000 2008,1
40,281,340,en,Mon Jan 16 08:46:24 +0000 2012,2
41,543,445,en,Sun Apr 27 15:29:35 +0000 2008,1
42,5217,4891,en,Wed Jan 18 03:20:48 +0000 2012,2
43,0,0,en,Tue Jan 17 10:13:30 +0000 2012,2
44,0,0,it,Wed Mar 28 14:25:05 +0000 2012,2
45,1,0,en,Wed Mar 28 08:44:16 +0000 2012,2
46,123,102,en,Fri Mar 02 14:48:20 +0000 2012,1
47,1,0,en,Thu Jan 19 05:41:42 +0000 2012,2
48,0,0,it,Tue Jan 17 08:58:46 +0000 2012,2
49,0,0,es,Wed Mar 28 14:45:25 +0000 2012,2
50,339,320,it,Mon Feb 13 22:05:48 +0000 2012,1
51,4415,4627,en,Wed Mar 28 12:41:59 +0000 2012,2
52,5070,5428,en,Wed Jan 18 02:46:12 +0000 2012,2
53,4289,4559,en,Wed Mar 28 08:50:24 +0000 2012,2
54,2,0,es,Tue Jan 17 03:48:13 +0000 2012,2
55,5537,6062,en,Mon Jan 16 07:46:29 +0000 2012,2
56,254,336,en,Fri Dec 03 06:46:40 +0000 2010,1
57,614,1170,en,Tue Aug 10 04:55:53 +0000 2010,1
58,4019,4397,en,Sat Jan 04 17:52:22 +0000 2014,2
59,4740,4905,it,Tue Jan 17 11:30:37 +0000 2012,2
60,5066,5569,en,Thu Mar 01 03:47:07 +0000 2012,2
61,1,0,en,Tue Jan 17 03:23:36 +0000 2012,2
62,15,36,en,Tue Jan 17 12:33:39 +0000 2012,2
63,3033,2192,es,Sat Mar 16 20:12:01 +0000 2013,2
64,1,0,en,Wed Jan 18 04:57:43 +0000 2012,2
65,256,454,en,Mon Mar 09 02:13:43 +0000 2009,1
66,4618,4798,es,Tue Jan 17 02:46:17 +0000 2012,2
67,0,0,en,Tue Jan 17 06:24:03 +0000 2012,2
68,0,0,en,Wed Jan 18 04:42:22 +0000 2012,2
69,1,0,it,Wed Jan 18 05:01:51 +0000 2012,2
70,202,632,en,Thu Jul 22 13:34:57 +0000 2010,1
71,133,215,en,Tue Jun 15 22:04:12 +0000 2010,1
72,349,348,en,Mon Dec 13 21:40:42 +0000 2010,1
73,415,481,en,Tue Aug 31 13:46:05 +0000 2010,1
74,0,0,en,Tue Jan 17 10:55:05 +0000 2012,2
75,8301,8510,it,Tue May 15 14:09:53 +0000 2012,2
76,104,386,en,Fri Aug 31 01:07:06 +0000 2007,1
77,544,685,en,Mon Jan 16 06:49:06 +0000 2012,2
78,403,383,en,Sat Nov 06 16:33:58 +0000 2010,1
79,150,53,en,Fri Oct 18 01:08:49 +0000 2013,1
80,1944,2133,en,Sun May 06 17:22:50 +0000 2012,2
81,94,334,en,Fri Jan 21 16:07:51 +0000 2011,1
82,0,0,en,Tue Jan 17 07:28:48 +0000 2012,2
83,0,0,es,Wed Jan 18 03:57:43 +0000 2012,2
84,4317,4749,en,Mon Dec 12 09:39:24 +0000 2011,2
85,314,394,en,Tue Jan 17 03:41:27 +0000 2012,2
86,19,117,en,Fri Nov 19 14:32:24 +0000 2010,1
87,292,634,es,Thu Jul 29 04:13:23 +0000 2010,1
88,4318,4747,en,Tue Jan 17 11:36:09 +0000 2012,2
89,5054,5560,en,Wed Jun 20 16:26:34 +0000 2012,2
90,1632,2003,en,Tue Jan 07 15:02:59 +0000 2014,2
91,248,361,en,Mon Jan 16 10:26:34 +0000 2012,2
92,31,38,it,Tue Jan 17 05:34:44 +0000 2012,2
93,0,0,en,Mon Jan 16 07:30:23 +0000 2012,2
94,5232,5454,en,Thu Jun 21 13:29:00 +0000 2012,2
95,192,323,en,Tue Feb 17 08:51:07 +0000 2009,1
96,9757,10677,it,Fri Jan 03 23:24:41 +0000 2014,2
97,262,344,es,Wed Mar 28 14:32:17 +0000 2012,2
98,4813,5125,it,Wed Jan 18 05:36:29 +0000 2012,2
99,45532,40075,en,Thu Apr 19 10:37:03 +0000 2012,2
100,6236,5868,en,Tue Jan 17 12:12:55 +0000 2012,2
101,1,0,en,Tue Jan 17 05:09:32 +0000 2012,2
102,19,41,en,Tue Jan 17 09:47:31 +0000 2012,2
103,0,0,es,Tue Jan 17 12:42:34 +0000 2012,2
104,275,316,en,Fri Sep 12 14:35:18 +0000 2008,1
105,0,0,en,Wed Jan 18 03:49:56 +0000 2012,2
106,222,294,en,Mon Jan 16 07:49:10 +0000 2012,2
107,0,0,en,Tue Jan 17 10:18:41 +0000 2012,2
108,2,0,en,Wed Jan 18 06:34:17 +0000 2012,2
109,315,311,en,Sun Jul 11 03:37:04 +0000 2010,1
110,3774,4048,en,Tue Jan 17 10:48:27 +0000 2012,2
111,21,43,en,Tue Jan 17 12:06:17 +0000 2012,2
112,1,0,en,Wed Jan 18 06:36:46 +0000 2012,2
113,0,0,it,Sun Apr 01 01:22:18 +0000 2012,2
114,0,0,en,Wed Mar 28 15:25:14 +0000 2012,2
115,1214,1989,en,Wed Aug 20 06:52:33 +0000 2008,1
116,89,120,en,Mon Aug 09 16:35:15 +0000 2010,1
117,2863,3153,en,Wed Mar 28 08:43:14 +0000 2012,2
118,1068,1883,en,Sat Oct 09 21:13:58 +0000 2010,1
119,228,381,en,Tue Jan 17 13:16:56 +0000 2012,2
120,594,1408,en,Mon Mar 30 22:24:54 +0000 2009,1
121,4584,5040,es,Wed Jan 18 04:25:41 +0000 2012,2
122,2355,2074,es,Wed Jan 12 07:35:22 +0000 2011,2
123,4785,5059,en,Tue Jan 17 07:55:45 +0000 2012,2
124,1,0,en,Tue Jan 17 12:15:30 +0000 2012,2
125,132,375,en,Tue Jan 27 16:31:35 +0000 2009,1
126,0,0,en,Wed Jan 18 02:30:18 +0000 2012,2
127,1449,1822,en,Tue Jan 08 14:05:57 +0000 2013,2
128,492,646,en,Wed Jan 18 05:43:43 +0000 2012,2
129,23,147,it,Mon Nov 11 00:16:14 +0000 2013,1
130,15,27,en,Tue Jan 17 03:49:53 +0000 2012,2
131,392,283,en,Wed Oct 23 09:58:10 +0000 2013,1
132,300,193,en,Fri Dec 14 19:26:10 +0000 2007,1
133,253,333,en,Tue Jan 17 10:28:06 +0000 2012,2
134,0,0,en,Tue Jan 17 06:57:29 +0000 2012,2
135,4887,5250,en,Thu Jun 21 07:53:58 +0000 2012,2
136,5052,5503,en,Wed Jun 20 10:03:39 +0000 2012,2
137,4420,4731,en,Wed Jan 12 18:10:22 +0000 2011,2
138,0,0,en,Wed Jan 18 04:38:04 +0000 2012,2
139,179,271,en,Mon Apr 30 01:21:45 +0000 2012,1
140,1007,527,es,Fri May 11 04:04:14 +0000 2012,1
141,540,213,en,Wed Jan 01 19:53:25 +0000 2014,2
142,0,0,en,Tue Jan 17 11:50:26 +0000 2012,2
143,398,301,en,Wed Mar 21 23:43:40 +0000 2007,1
144,4956,2652,en,Mon Jun 02 18:00:23 +0000 2008,1
145,0,0,en,Wed Mar 28 12:17:50 +0000 2012,2
146,246,164,en,Mon Mar 30 02:58:51 +0000 2009,1
147,203,288,en,Thu Jan 19 03:34:56 +0000 2012,2
148,295,224,en,Sat Jul 24 04:14:35 +0000 2010,1
149,416,67,en,Tue Mar 03 08:10:28 +0000 2009,1
150,337,630,es,Wed Jan 27 16:51:00 +0000 2010,2
151,0,0,en,Wed Mar 28 13:23:06 +0000 2012,2
152,0,0,en,Mon Jan 16 09:10:26 +0000 2012,2
153,4,0,en,Tue Jan 17 10:22:46 +0000 2012,2
154,2316,2558,en,Wed May 09 22:10:09 +0000 2012,2
155,3823,4206,en,Thu Jan 19 03:30:39 +0000 2012,2
156,236,300,it,Sat Mar 10 22:25:08 +0000 2007,1
157,844,1416,en,Tue Apr 29 17:50:12 +0000 2008,1
158,312,335,en,Wed Mar 28 08:33:23 +0000 2012,2
159,22,36,it,Mon Jan 16 09:50:27 +0000 2012,2
160,0,0,en,Tue Jan 17 09:51:03 +0000 2012,2
161,255,300,en,Thu Aug 05 05:24:14 +0000 2010,1
162,0,0,en,Tue Jan 17 07:43:52 +0000 2012,2
163,0,0,en,Wed Mar 28 08:53:22 +0000 2012,2
164,379,483,en,Wed Jan 18 06:25:58 +0000 2012,2
165,6519,6741,en,Thu Jun 21 11:42:15 +0000 2012,2
166,4627,4888,en,Tue Jan 07 15:00:18 +0000 2014,2
167,267,583,en,Sat Feb 04 00:44:36 +0000 2012,1
168,75,96,en,Fri Oct 15 11:41:33 +0000 2010,1
169,179,261,en,Wed Jan 18 04:40:20 +0000 2012,2
170,286,272,en,Thu Jan 02 11:14:27 +0000 2014,2
171,0,0,es,Mon Jan 16 08:59:29 +0000 2012,2
172,224,506,en,Sun Jul 04 09:52:03 +0000 2010,1
173,354,893,en,Fri Aug 27 21:05:49 +0000 2010,1
174,200,78,en,Mon Feb 16 20:53:01 +0000 2009,1
175,0,0,en,Wed Mar 28 09:18:35 +0000 2012,2
176,19,36,en,Tue Jan 17 12:23:52 +0000 2012,2
177,4419,4861,en,Tue Jan 17 03:00:37 +0000 2012,2
178,0,0,es,Mon Jan 16 08:58:16 +0000 2012,2
179,29,73,en,Sat Dec 28 08:05:15 +0000 2013,2
180,0,0,en,Tue Jan 17 08:54:10 +0000 2012,2
181,80,173,en,Sun Dec 22 08:34:23 +0000 2013,2
182,0,0,en,Tue Jan 17 12:16:01 +0000 2012,2
183,1217,1144,en,Sat Mar 16 20:09:07 +0000 2013,2
184,7122,5199,en,Wed Dec 19 16:29:25 +0000 2012,2
185,4514,4730,en,Mon Dec 12 09:44:09 +0000 2011,2
186,21,33,en,Mon Jan 16 08:33:09 +0000 2012,2
187,0,0,en,Sun Apr 01 01:33:51 +0000 2012,2
188,0,0,en,Mon Jan 16 06:41:32 +0000 2012,2
189,0,0,en,Mon Jan 16 06:39:15 +0000 2012,2
190,297,338,en,Mon Jan 16 10:38:00 +0000 2012,2
191,282,357,en,Mon Jan 16 09:04:02 +0000 2012,2
192,186,171,en,Tue Oct 15 22:48:24 +0000 2013,1
193,1536,2001,en,Sun May 06 19:14:01 +0000 2012,2
194,273,258,en,Mon Dec 29 23:58:47 +0000 2008,1
195,583,407,it,Fri Apr 06 02:27:41 +0000 2012,1
196,0,0,it,Mon Jan 16 07:13:54 +0000 2012,2
197,6873,7559,en,Fri Apr 20 10:28:36 +0000 2012,2
198,181,216,en,Mon Nov 01 12:06:03 +0000 2010,1
199,74,268,it,Wed Mar 28 07:03:39 +0000 2012,1
200,49,80,en,Tue May 01 02:19:24 +0000 2012,1
